seed,fpr,tpr,roc_auc,precision,recall,AP,accuracy,time
0,"[0.         0.         0.01351351 0.01351351 0.02702703 0.02702703
 0.06756757 0.06756757 0.13513514 0.13513514 0.24324324 0.24324324
 0.36486486 0.36486486 0.44594595 0.44594595 0.48648649 0.48648649
 0.5        0.5        0.64864865 0.64864865 1.        ]","[0.         0.04761905 0.04761905 0.14285714 0.14285714 0.42857143
 0.42857143 0.47619048 0.47619048 0.61904762 0.61904762 0.66666667
 0.66666667 0.71428571 0.71428571 0.76190476 0.76190476 0.85714286
 0.85714286 0.95238095 0.95238095 1.         1.        ]",0.7934362934362934,"[0.30434783 0.29411765 0.29850746 0.3030303  0.30769231 0.3125
 0.31746032 0.32258065 0.32786885 0.33333333 0.33898305 0.34482759
 0.35087719 0.33928571 0.32727273 0.33333333 0.32075472 0.30769231
 0.31372549 0.32       0.32653061 0.3125     0.31914894 0.32608696
 0.33333333 0.34090909 0.34883721 0.35714286 0.34146341 0.35
 0.35897436 0.36842105 0.37837838 0.38888889 0.4        0.41176471
 0.42424242 0.4375     0.41935484 0.43333333 0.44827586 0.46428571
 0.48148148 0.5        0.52       0.54166667 0.56521739 0.54545455
 0.52380952 0.5        0.52631579 0.55555556 0.58823529 0.625
 0.66666667 0.64285714 0.69230769 0.75       0.81818182 0.8
 0.77777778 0.75       0.71428571 0.66666667 0.6        0.75
 0.66666667 0.5        1.         1.        ]","[1.         0.95238095 0.95238095 0.95238095 0.95238095 0.95238095
 0.95238095 0.95238095 0.95238095 0.95238095 0.95238095 0.95238095
 0.95238095 0.9047619  0.85714286 0.85714286 0.80952381 0.76190476
 0.76190476 0.76190476 0.76190476 0.71428571 0.71428571 0.71428571
 0.71428571 0.71428571 0.71428571 0.71428571 0.66666667 0.66666667
 0.66666667 0.66666667 0.66666667 0.66666667 0.66666667 0.66666667
 0.66666667 0.66666667 0.61904762 0.61904762 0.61904762 0.61904762
 0.61904762 0.61904762 0.61904762 0.61904762 0.61904762 0.57142857
 0.52380952 0.47619048 0.47619048 0.47619048 0.47619048 0.47619048
 0.47619048 0.42857143 0.42857143 0.42857143 0.42857143 0.38095238
 0.33333333 0.28571429 0.23809524 0.19047619 0.14285714 0.14285714
 0.0952381  0.04761905 0.04761905 0.        ]",0.5721190011367179,0.7894736842105263,distal
1,"[0.         0.         0.         0.03448276 0.03448276 0.05172414
 0.05172414 0.0862069  0.0862069  0.10344828 0.10344828 0.24137931
 0.24137931 0.25862069 0.25862069 0.34482759 0.34482759 0.4137931
 0.4137931  0.48275862 0.48275862 0.53448276 0.53448276 0.5862069
 0.5862069  0.62068966 0.62068966 0.68965517 0.68965517 0.74137931
 0.74137931 0.77586207 0.77586207 0.9137931  0.9137931  1.        ]","[0.         0.03448276 0.4137931  0.4137931  0.44827586 0.44827586
 0.48275862 0.48275862 0.51724138 0.51724138 0.5862069  0.5862069
 0.62068966 0.62068966 0.65517241 0.65517241 0.68965517 0.68965517
 0.72413793 0.72413793 0.75862069 0.75862069 0.79310345 0.79310345
 0.82758621 0.82758621 0.86206897 0.86206897 0.89655172 0.89655172
 0.93103448 0.93103448 0.96551724 0.96551724 1.         1.        ]",0.7592152199762189,"[0.35365854 0.34567901 0.35       0.35443038 0.35897436 0.36363636
 0.36842105 0.37333333 0.37837838 0.38356164 0.375      0.38028169
 0.38571429 0.37681159 0.38235294 0.3880597  0.39393939 0.38461538
 0.390625   0.3968254  0.40322581 0.40983607 0.4        0.40677966
 0.4137931  0.40350877 0.41071429 0.41818182 0.42592593 0.41509434
 0.42307692 0.43137255 0.44       0.42857143 0.4375     0.44680851
 0.45652174 0.46666667 0.45454545 0.46511628 0.47619048 0.48780488
 0.5        0.48717949 0.5        0.51351351 0.52777778 0.54285714
 0.55882353 0.54545455 0.5625     0.5483871  0.56666667 0.5862069
 0.60714286 0.62962963 0.65384615 0.68       0.70833333 0.73913043
 0.72727273 0.71428571 0.75       0.73684211 0.77777778 0.82352941
 0.8125     0.86666667 0.85714286 0.92307692 1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.        ]","[1.         0.96551724 0.96551724 0.96551724 0.96551724 0.96551724
 0.96551724 0.96551724 0.96551724 0.96551724 0.93103448 0.93103448
 0.93103448 0.89655172 0.89655172 0.89655172 0.89655172 0.86206897
 0.86206897 0.86206897 0.86206897 0.86206897 0.82758621 0.82758621
 0.82758621 0.79310345 0.79310345 0.79310345 0.79310345 0.75862069
 0.75862069 0.75862069 0.75862069 0.72413793 0.72413793 0.72413793
 0.72413793 0.72413793 0.68965517 0.68965517 0.68965517 0.68965517
 0.68965517 0.65517241 0.65517241 0.65517241 0.65517241 0.65517241
 0.65517241 0.62068966 0.62068966 0.5862069  0.5862069  0.5862069
 0.5862069  0.5862069  0.5862069  0.5862069  0.5862069  0.5862069
 0.55172414 0.51724138 0.51724138 0.48275862 0.48275862 0.48275862
 0.44827586 0.44827586 0.4137931  0.4137931  0.4137931  0.37931034
 0.34482759 0.31034483 0.27586207 0.24137931 0.20689655 0.17241379
 0.13793103 0.10344828 0.06896552 0.03448276 0.        ]",0.7310695997099232,0.7241379310344828,distal
2,"[0.       0.       0.       0.03125  0.03125  0.078125 0.078125 0.109375
 0.109375 0.125    0.125    0.171875 0.171875 0.203125 0.203125 0.21875
 0.21875  0.234375 0.234375 0.3125   0.3125   0.40625  0.40625  0.484375
 0.484375 0.53125  0.53125  0.546875 0.546875 0.828125 0.828125 0.859375
 0.859375 1.      ]","[0.         0.03333333 0.3        0.3        0.33333333 0.33333333
 0.43333333 0.43333333 0.53333333 0.53333333 0.6        0.6
 0.63333333 0.63333333 0.7        0.7        0.73333333 0.73333333
 0.76666667 0.76666667 0.8        0.8        0.83333333 0.83333333
 0.86666667 0.86666667 0.9        0.9        0.93333333 0.93333333
 0.96666667 0.96666667 1.         1.        ]",0.8052083333333333,"[0.35294118 0.3452381  0.34939759 0.35365854 0.34567901 0.35
 0.35443038 0.35897436 0.36363636 0.36842105 0.37333333 0.37837838
 0.38356164 0.38888889 0.3943662  0.4        0.4057971  0.41176471
 0.41791045 0.42424242 0.43076923 0.4375     0.44444444 0.43548387
 0.44262295 0.43333333 0.44067797 0.44827586 0.45614035 0.44642857
 0.45454545 0.46296296 0.47169811 0.48076923 0.49019608 0.48
 0.48979592 0.5        0.5106383  0.52173913 0.53333333 0.54545455
 0.53488372 0.54761905 0.56097561 0.575      0.58974359 0.60526316
 0.59459459 0.61111111 0.6        0.61764706 0.60606061 0.59375
 0.61290323 0.63333333 0.62068966 0.64285714 0.66666667 0.69230769
 0.68       0.66666667 0.69565217 0.68181818 0.66666667 0.65
 0.68421053 0.72222222 0.70588235 0.6875     0.66666667 0.71428571
 0.76923077 0.83333333 0.81818182 0.9        1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.        ]","[1.         0.96666667 0.96666667 0.96666667 0.93333333 0.93333333
 0.93333333 0.93333333 0.93333333 0.93333333 0.93333333 0.93333333
 0.93333333 0.93333333 0.93333333 0.93333333 0.93333333 0.93333333
 0.93333333 0.93333333 0.93333333 0.93333333 0.93333333 0.9
 0.9        0.86666667 0.86666667 0.86666667 0.86666667 0.83333333
 0.83333333 0.83333333 0.83333333 0.83333333 0.83333333 0.8
 0.8        0.8        0.8        0.8        0.8        0.8
 0.76666667 0.76666667 0.76666667 0.76666667 0.76666667 0.76666667
 0.73333333 0.73333333 0.7        0.7        0.66666667 0.63333333
 0.63333333 0.63333333 0.6        0.6        0.6        0.6
 0.56666667 0.53333333 0.53333333 0.5        0.46666667 0.43333333
 0.43333333 0.43333333 0.4        0.36666667 0.33333333 0.33333333
 0.33333333 0.33333333 0.3        0.3        0.3        0.26666667
 0.23333333 0.2        0.16666667 0.13333333 0.1        0.06666667
 0.03333333 0.        ]",0.7174751991169604,0.723404255319149,distal
3,"[0.         0.         0.         0.01234568 0.01234568 0.02469136
 0.02469136 0.0617284  0.0617284  0.14814815 0.14814815 0.17283951
 0.17283951 0.22222222 0.22222222 0.2345679  0.2345679  0.2962963
 0.2962963  0.41975309 0.41975309 0.44444444 0.44444444 0.59259259
 0.59259259 0.65432099 0.65432099 0.77777778 0.77777778 0.88888889
 0.88888889 1.        ]","[0.         0.04545455 0.22727273 0.22727273 0.31818182 0.31818182
 0.36363636 0.36363636 0.45454545 0.45454545 0.5        0.5
 0.54545455 0.54545455 0.59090909 0.59090909 0.63636364 0.63636364
 0.68181818 0.68181818 0.72727273 0.72727273 0.77272727 0.77272727
 0.86363636 0.86363636 0.90909091 0.90909091 0.95454545 0.95454545
 1.         1.        ]",0.744668911335578,"[0.23404255 0.22580645 0.22826087 0.23076923 0.23333333 0.23595506
 0.23863636 0.24137931 0.24418605 0.24705882 0.25       0.24096386
 0.24390244 0.24691358 0.25       0.25316456 0.25641026 0.25974026
 0.26315789 0.26666667 0.27027027 0.2739726  0.26388889 0.26760563
 0.27142857 0.27536232 0.27941176 0.28358209 0.27272727 0.26153846
 0.265625   0.26984127 0.27419355 0.27868852 0.28333333 0.28813559
 0.29310345 0.29824561 0.30357143 0.30909091 0.31481481 0.32075472
 0.30769231 0.31372549 0.32       0.30612245 0.3125     0.31914894
 0.32608696 0.33333333 0.34090909 0.34883721 0.35714286 0.36585366
 0.375      0.38461538 0.36842105 0.37837838 0.38888889 0.4
 0.41176471 0.42424242 0.40625    0.41935484 0.4        0.4137931
 0.42857143 0.44444444 0.46153846 0.44       0.45833333 0.47826087
 0.45454545 0.47619048 0.5        0.52631579 0.55555556 0.58823529
 0.625      0.66666667 0.64285714 0.61538462 0.66666667 0.72727273
 0.8        0.77777778 0.875      0.85714286 0.83333333 1.
 1.         1.         1.         1.         1.        ]","[1.         0.95454545 0.95454545 0.95454545 0.95454545 0.95454545
 0.95454545 0.95454545 0.95454545 0.95454545 0.95454545 0.90909091
 0.90909091 0.90909091 0.90909091 0.90909091 0.90909091 0.90909091
 0.90909091 0.90909091 0.90909091 0.90909091 0.86363636 0.86363636
 0.86363636 0.86363636 0.86363636 0.86363636 0.81818182 0.77272727
 0.77272727 0.77272727 0.77272727 0.77272727 0.77272727 0.77272727
 0.77272727 0.77272727 0.77272727 0.77272727 0.77272727 0.77272727
 0.72727273 0.72727273 0.72727273 0.68181818 0.68181818 0.68181818
 0.68181818 0.68181818 0.68181818 0.68181818 0.68181818 0.68181818
 0.68181818 0.68181818 0.63636364 0.63636364 0.63636364 0.63636364
 0.63636364 0.63636364 0.59090909 0.59090909 0.54545455 0.54545455
 0.54545455 0.54545455 0.54545455 0.5        0.5        0.5
 0.45454545 0.45454545 0.45454545 0.45454545 0.45454545 0.45454545
 0.45454545 0.45454545 0.40909091 0.36363636 0.36363636 0.36363636
 0.36363636 0.31818182 0.31818182 0.27272727 0.22727273 0.22727273
 0.18181818 0.13636364 0.09090909 0.04545455 0.        ]",0.5893071763877131,0.8349514563106796,distal
4,"[0.     0.     0.     0.0125 0.0125 0.025  0.025  0.0375 0.0375 0.05
 0.05   0.1    0.1    0.1125 0.1125 0.275  0.275  0.325  0.325  0.4625
 0.4625 0.575  0.575  0.6125 0.6125 0.6875 0.6875 1.    ]","[0.         0.04347826 0.13043478 0.13043478 0.34782609 0.34782609
 0.43478261 0.43478261 0.52173913 0.52173913 0.56521739 0.56521739
 0.60869565 0.60869565 0.69565217 0.69565217 0.73913043 0.73913043
 0.7826087  0.7826087  0.82608696 0.82608696 0.86956522 0.86956522
 0.95652174 0.95652174 1.         1.        ]",0.821195652173913,"[0.29487179 0.28571429 0.28947368 0.29333333 0.2972973  0.30136986
 0.30555556 0.30985915 0.3        0.28985507 0.29411765 0.29850746
 0.3030303  0.29230769 0.296875   0.3015873  0.30645161 0.31147541
 0.31666667 0.3220339  0.32758621 0.33333333 0.33928571 0.32727273
 0.33333333 0.33962264 0.34615385 0.35294118 0.36       0.36734694
 0.375      0.38297872 0.39130435 0.4        0.40909091 0.39534884
 0.4047619  0.41463415 0.425      0.43589744 0.42105263 0.43243243
 0.44444444 0.45714286 0.47058824 0.48484848 0.5        0.51612903
 0.53333333 0.55172414 0.57142857 0.59259259 0.61538462 0.64
 0.625      0.60869565 0.63636364 0.61904762 0.65       0.68421053
 0.72222222 0.76470588 0.75       0.8        0.78571429 0.76923077
 0.83333333 0.81818182 0.8        0.88888889 0.875      0.85714286
 0.83333333 0.8        0.75       1.         1.         1.
 1.        ]","[1.         0.95652174 0.95652174 0.95652174 0.95652174 0.95652174
 0.95652174 0.95652174 0.91304348 0.86956522 0.86956522 0.86956522
 0.86956522 0.82608696 0.82608696 0.82608696 0.82608696 0.82608696
 0.82608696 0.82608696 0.82608696 0.82608696 0.82608696 0.7826087
 0.7826087  0.7826087  0.7826087  0.7826087  0.7826087  0.7826087
 0.7826087  0.7826087  0.7826087  0.7826087  0.7826087  0.73913043
 0.73913043 0.73913043 0.73913043 0.73913043 0.69565217 0.69565217
 0.69565217 0.69565217 0.69565217 0.69565217 0.69565217 0.69565217
 0.69565217 0.69565217 0.69565217 0.69565217 0.69565217 0.69565217
 0.65217391 0.60869565 0.60869565 0.56521739 0.56521739 0.56521739
 0.56521739 0.56521739 0.52173913 0.52173913 0.47826087 0.43478261
 0.43478261 0.39130435 0.34782609 0.34782609 0.30434783 0.26086957
 0.2173913  0.17391304 0.13043478 0.13043478 0.08695652 0.04347826
 0.        ]",0.6760738846702969,0.8058252427184466,distal
5,"[0.       0.       0.       0.015625 0.015625 0.03125  0.03125  0.078125
 0.078125 0.125    0.125    0.359375 0.359375 0.390625 0.390625 0.40625
 0.40625  0.546875 0.546875 0.5625   0.5625   0.578125 0.578125 0.71875
 0.71875  1.      ]","[0.         0.04347826 0.30434783 0.30434783 0.47826087 0.47826087
 0.52173913 0.52173913 0.56521739 0.56521739 0.60869565 0.60869565
 0.65217391 0.65217391 0.69565217 0.69565217 0.73913043 0.73913043
 0.82608696 0.82608696 0.91304348 0.91304348 0.95652174 0.95652174
 1.         1.        ]",0.7839673913043479,"[0.33333333 0.32352941 0.32835821 0.33333333 0.33846154 0.34375
 0.34920635 0.35483871 0.36065574 0.36666667 0.37288136 0.36206897
 0.36842105 0.35714286 0.34545455 0.35185185 0.33962264 0.32692308
 0.33333333 0.34       0.34693878 0.35416667 0.36170213 0.36956522
 0.37777778 0.38636364 0.39534884 0.38095238 0.3902439  0.375
 0.38461538 0.39473684 0.37837838 0.38888889 0.4        0.41176471
 0.42424242 0.4375     0.4516129  0.46666667 0.48275862 0.5
 0.51851852 0.53846154 0.56       0.58333333 0.60869565 0.63636364
 0.61904762 0.65       0.68421053 0.72222222 0.70588235 0.75
 0.8        0.85714286 0.84615385 0.91666667 0.90909091 0.9
 0.88888889 0.875      1.         1.         1.         1.
 1.         1.         1.         1.        ]","[1.         0.95652174 0.95652174 0.95652174 0.95652174 0.95652174
 0.95652174 0.95652174 0.95652174 0.95652174 0.95652174 0.91304348
 0.91304348 0.86956522 0.82608696 0.82608696 0.7826087  0.73913043
 0.73913043 0.73913043 0.73913043 0.73913043 0.73913043 0.73913043
 0.73913043 0.73913043 0.73913043 0.69565217 0.69565217 0.65217391
 0.65217391 0.65217391 0.60869565 0.60869565 0.60869565 0.60869565
 0.60869565 0.60869565 0.60869565 0.60869565 0.60869565 0.60869565
 0.60869565 0.60869565 0.60869565 0.60869565 0.60869565 0.60869565
 0.56521739 0.56521739 0.56521739 0.56521739 0.52173913 0.52173913
 0.52173913 0.52173913 0.47826087 0.47826087 0.43478261 0.39130435
 0.34782609 0.30434783 0.30434783 0.26086957 0.2173913  0.17391304
 0.13043478 0.08695652 0.04347826 0.        ]",0.7014764284578272,0.7586206896551724,distal
6,"[0.         0.         0.         0.01315789 0.01315789 0.03947368
 0.03947368 0.10526316 0.10526316 0.15789474 0.15789474 0.21052632
 0.21052632 0.26315789 0.26315789 0.32894737 0.32894737 0.39473684
 0.39473684 0.43421053 0.43421053 0.48684211 0.48684211 0.5
 0.5        0.57894737 0.57894737 0.61842105 0.61842105 0.85526316
 0.85526316 1.        ]","[0.         0.04347826 0.17391304 0.17391304 0.26086957 0.26086957
 0.43478261 0.43478261 0.47826087 0.47826087 0.52173913 0.52173913
 0.56521739 0.56521739 0.60869565 0.60869565 0.65217391 0.65217391
 0.69565217 0.69565217 0.73913043 0.73913043 0.7826087  0.7826087
 0.82608696 0.82608696 0.91304348 0.91304348 0.95652174 0.95652174
 1.         1.        ]",0.7522883295194508,"[0.26136364 0.25287356 0.25581395 0.25882353 0.26190476 0.26506024
 0.26829268 0.27160494 0.275      0.27848101 0.28205128 0.28571429
 0.28947368 0.29333333 0.2972973  0.30136986 0.30555556 0.30985915
 0.31428571 0.31884058 0.30882353 0.31343284 0.31818182 0.32307692
 0.3125     0.3015873  0.30645161 0.31147541 0.31666667 0.3220339
 0.32758621 0.33333333 0.32142857 0.32727273 0.31481481 0.32075472
 0.32692308 0.33333333 0.34       0.32653061 0.33333333 0.34042553
 0.34782609 0.33333333 0.34090909 0.34883721 0.35714286 0.36585366
 0.375      0.35897436 0.36842105 0.37837838 0.38888889 0.4
 0.41176471 0.39393939 0.40625    0.41935484 0.43333333 0.44827586
 0.42857143 0.44444444 0.46153846 0.48       0.5        0.47826087
 0.5        0.52380952 0.55       0.57894737 0.55555556 0.58823529
 0.625      0.66666667 0.71428571 0.76923077 0.75       0.72727273
 0.7        0.66666667 0.75       0.85714286 0.83333333 0.8
 1.         1.         1.         1.         1.        ]","[1.         0.95652174 0.95652174 0.95652174 0.95652174 0.95652174
 0.95652174 0.95652174 0.95652174 0.95652174 0.95652174 0.95652174
 0.95652174 0.95652174 0.95652174 0.95652174 0.95652174 0.95652174
 0.95652174 0.95652174 0.91304348 0.91304348 0.91304348 0.91304348
 0.86956522 0.82608696 0.82608696 0.82608696 0.82608696 0.82608696
 0.82608696 0.82608696 0.7826087  0.7826087  0.73913043 0.73913043
 0.73913043 0.73913043 0.73913043 0.69565217 0.69565217 0.69565217
 0.69565217 0.65217391 0.65217391 0.65217391 0.65217391 0.65217391
 0.65217391 0.60869565 0.60869565 0.60869565 0.60869565 0.60869565
 0.60869565 0.56521739 0.56521739 0.56521739 0.56521739 0.56521739
 0.52173913 0.52173913 0.52173913 0.52173913 0.52173913 0.47826087
 0.47826087 0.47826087 0.47826087 0.47826087 0.43478261 0.43478261
 0.43478261 0.43478261 0.43478261 0.43478261 0.39130435 0.34782609
 0.30434783 0.26086957 0.26086957 0.26086957 0.2173913  0.17391304
 0.17391304 0.13043478 0.08695652 0.04347826 0.        ]",0.5876165613071889,0.7878787878787878,distal
7,"[0.         0.         0.01408451 0.01408451 0.04225352 0.04225352
 0.07042254 0.07042254 0.25352113 0.25352113 0.26760563 0.26760563
 0.56338028 0.56338028 0.92957746 0.92957746 1.        ]","[0.   0.05 0.05 0.6  0.6  0.7  0.7  0.75 0.75 0.8  0.8  0.9  0.9  0.95
 0.95 1.   1.  ]",0.8704225352112676,"[0.23255814 0.22352941 0.22619048 0.22891566 0.23170732 0.2345679
 0.2375     0.24050633 0.24358974 0.24675325 0.25       0.25333333
 0.25675676 0.26027397 0.26388889 0.26760563 0.27142857 0.27536232
 0.27941176 0.28358209 0.28787879 0.29230769 0.296875   0.3015873
 0.30645161 0.31147541 0.31666667 0.3220339  0.31034483 0.31578947
 0.32142857 0.32727273 0.33333333 0.33962264 0.34615385 0.35294118
 0.36       0.36734694 0.375      0.38297872 0.39130435 0.4
 0.40909091 0.41860465 0.42857143 0.43902439 0.45       0.46153846
 0.47368421 0.48648649 0.47222222 0.45714286 0.47058824 0.45454545
 0.46875    0.48387097 0.5        0.51724138 0.53571429 0.55555556
 0.57692308 0.6        0.625      0.65217391 0.68181818 0.71428571
 0.75       0.73684211 0.77777778 0.82352941 0.8125     0.8
 0.85714286 0.92307692 0.91666667 0.90909091 0.9        0.88888889
 0.875      0.85714286 0.83333333 0.8        0.75       0.66666667
 0.5        1.         1.        ]","[1.   0.95 0.95 0.95 0.95 0.95 0.95 0.95 0.95 0.95 0.95 0.95 0.95 0.95
 0.95 0.95 0.95 0.95 0.95 0.95 0.95 0.95 0.95 0.95 0.95 0.95 0.95 0.95
 0.9  0.9  0.9  0.9  0.9  0.9  0.9  0.9  0.9  0.9  0.9  0.9  0.9  0.9
 0.9  0.9  0.9  0.9  0.9  0.9  0.9  0.9  0.85 0.8  0.8  0.75 0.75 0.75
 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.7  0.7  0.7
 0.65 0.6  0.6  0.6  0.55 0.5  0.45 0.4  0.35 0.3  0.25 0.2  0.15 0.1
 0.05 0.05 0.  ]",0.7344892319236873,0.8131868131868132,distal
8,"[0.         0.         0.         0.02631579 0.02631579 0.07894737
 0.07894737 0.22368421 0.22368421 0.26315789 0.26315789 0.34210526
 0.34210526 0.42105263 0.42105263 0.44736842 0.44736842 0.5
 0.5        0.53947368 0.53947368 0.57894737 0.57894737 0.64473684
 0.64473684 0.78947368 0.78947368 1.        ]","[0.         0.04347826 0.34782609 0.34782609 0.39130435 0.39130435
 0.52173913 0.52173913 0.56521739 0.56521739 0.60869565 0.60869565
 0.65217391 0.65217391 0.69565217 0.69565217 0.73913043 0.73913043
 0.7826087  0.7826087  0.82608696 0.82608696 0.86956522 0.86956522
 0.91304348 0.91304348 1.         1.        ]",0.7477116704805492,"[0.27710843 0.26829268 0.25925926 0.2625     0.26582278 0.26923077
 0.27272727 0.27631579 0.28       0.28378378 0.28767123 0.29166667
 0.29577465 0.3        0.28985507 0.29411765 0.29850746 0.3030303
 0.30769231 0.3125     0.3015873  0.30645161 0.31147541 0.31666667
 0.30508475 0.31034483 0.31578947 0.32142857 0.30909091 0.31481481
 0.32075472 0.32692308 0.33333333 0.32       0.32653061 0.33333333
 0.31914894 0.32608696 0.33333333 0.34090909 0.34883721 0.35714286
 0.36585366 0.35       0.35897436 0.36842105 0.37837838 0.38888889
 0.4        0.41176471 0.39393939 0.40625    0.41935484 0.43333333
 0.4137931  0.42857143 0.44444444 0.46153846 0.48       0.5
 0.52173913 0.54545455 0.57142857 0.6        0.63157895 0.66666667
 0.64705882 0.625      0.6        0.64285714 0.69230769 0.75
 0.81818182 0.8        0.88888889 1.         1.         1.
 1.         1.         1.         1.         1.         1.        ]","[1.         0.95652174 0.91304348 0.91304348 0.91304348 0.91304348
 0.91304348 0.91304348 0.91304348 0.91304348 0.91304348 0.91304348
 0.91304348 0.91304348 0.86956522 0.86956522 0.86956522 0.86956522
 0.86956522 0.86956522 0.82608696 0.82608696 0.82608696 0.82608696
 0.7826087  0.7826087  0.7826087  0.7826087  0.73913043 0.73913043
 0.73913043 0.73913043 0.73913043 0.69565217 0.69565217 0.69565217
 0.65217391 0.65217391 0.65217391 0.65217391 0.65217391 0.65217391
 0.65217391 0.60869565 0.60869565 0.60869565 0.60869565 0.60869565
 0.60869565 0.60869565 0.56521739 0.56521739 0.56521739 0.56521739
 0.52173913 0.52173913 0.52173913 0.52173913 0.52173913 0.52173913
 0.52173913 0.52173913 0.52173913 0.52173913 0.52173913 0.52173913
 0.47826087 0.43478261 0.39130435 0.39130435 0.39130435 0.39130435
 0.39130435 0.34782609 0.34782609 0.34782609 0.30434783 0.26086957
 0.2173913  0.17391304 0.13043478 0.08695652 0.04347826 0.        ]",0.6274140011979931,0.8181818181818182,distal
9,"[0.         0.         0.         0.01449275 0.01449275 0.02898551
 0.02898551 0.05797101 0.05797101 0.14492754 0.14492754 0.15942029
 0.15942029 0.1884058  0.1884058  0.30434783 0.30434783 0.31884058
 0.31884058 0.36231884 0.36231884 0.37681159 0.37681159 0.46376812
 0.46376812 0.53623188 0.53623188 0.55072464 0.55072464 1.        ]","[0.         0.05263158 0.10526316 0.10526316 0.36842105 0.36842105
 0.42105263 0.42105263 0.47368421 0.47368421 0.52631579 0.52631579
 0.57894737 0.57894737 0.63157895 0.63157895 0.68421053 0.68421053
 0.73684211 0.73684211 0.78947368 0.78947368 0.84210526 0.84210526
 0.89473684 0.89473684 0.94736842 0.94736842 1.         1.        ]",0.8123569794050343,"[0.33333333 0.32142857 0.32727273 0.31481481 0.32075472 0.32692308
 0.33333333 0.34       0.34693878 0.33333333 0.34042553 0.34782609
 0.35555556 0.36363636 0.37209302 0.38095238 0.36585366 0.375
 0.35897436 0.36842105 0.37837838 0.38888889 0.37142857 0.38235294
 0.36363636 0.375      0.38709677 0.4        0.4137931  0.42857143
 0.44444444 0.46153846 0.48       0.45833333 0.47826087 0.5
 0.47619048 0.5        0.47368421 0.5        0.52941176 0.5625
 0.6        0.64285714 0.69230769 0.66666667 0.72727273 0.8
 0.77777778 0.875      0.85714286 0.83333333 0.8        0.75
 0.66666667 1.         1.         1.        ]","[1.         0.94736842 0.94736842 0.89473684 0.89473684 0.89473684
 0.89473684 0.89473684 0.89473684 0.84210526 0.84210526 0.84210526
 0.84210526 0.84210526 0.84210526 0.84210526 0.78947368 0.78947368
 0.73684211 0.73684211 0.73684211 0.73684211 0.68421053 0.68421053
 0.63157895 0.63157895 0.63157895 0.63157895 0.63157895 0.63157895
 0.63157895 0.63157895 0.63157895 0.57894737 0.57894737 0.57894737
 0.52631579 0.52631579 0.47368421 0.47368421 0.47368421 0.47368421
 0.47368421 0.47368421 0.47368421 0.42105263 0.42105263 0.42105263
 0.36842105 0.36842105 0.31578947 0.26315789 0.21052632 0.15789474
 0.10526316 0.10526316 0.05263158 0.        ]",0.6117117331535731,0.7954545454545454,distal
